,smoothed_model_name,experiment_name,seed,w_inf,cluster_param,smooth_a_mu,smooth_a_sigma2,smooth_a_p,smooth_t_mu,smooth_t_sigma2,smooth_t_p,constant_alpha,smoothing_target,hurdle_model,test_valid,non_degen_ll,clustering_matrix_name,clustering_transformation,distance_metric,cluster_inertia,run_timestamp
85,k_clusters,global_smoothing,6654,0.45,1,0.0,0.0,0.0,0.7,0.85,0.1,False,1,True,valid,-1.4190423,u,none,l1,0.0,20260810_222101_257981
20,k_clusters,global_smoothing,6654,0.2,1,0.0,0.0,0.0,0.7,0.15,0.45,False,1,True,valid,-1.4191232,u,none,l2,0.0,20260810_211808_938626
167,k_clusters,global_smoothing,6654,0.45,1,0.0,0.0,0.0,0.55,0.4,0.1,False,1,True,valid,-1.4191893,u,none,l1,0.0,20260810_234049_696941
89,k_clusters,global_smoothing,6654,0.26,1,0.0,0.0,0.0,0.65,0.05,0.2,False,1,True,valid,-1.4192107,u,none,l1,0.0,20260810_222458_626325
60,k_clusters,global_smoothing,6654,0.38,1,0.8,0.6,0.3,0.0,0.0,0.0,True,1,True,valid,-1.419216,u,none,l1,0.0,20260810_215634_514813
125,k_clusters,global_smoothing,6654,0.22,1,0.45,0.7,0.3,0.0,0.0,0.0,True,1,True,valid,-1.4198695,u,none,l1,0.0,20260810_225956_797452
171,k_clusters,global_smoothing,6654,0.38,1,0.0,0.0,0.0,0.75,0.25,0.25,False,1,True,valid,-1.4198987,u,none,l1,0.0,20260810_234445_446426
122,k_clusters,global_smoothing,6654,0.45,1,0.0,0.0,0.0,0.65,0.5,0.15,False,1,True,valid,-1.4199185,u,none,l1,0.0,20260810_225702_516909
17,k_clusters,global_smoothing,6654,0.22,1,0.7,0.65,0.3,0.0,0.0,0.0,True,1,True,valid,-1.4199805,u,none,l1,0.0,20260810_211522_309398
106,k_clusters,global_smoothing,6654,0.28,1,0.0,0.0,0.0,0.75,0.25,0.3,False,1,True,valid,-1.42001,u,none,l1,0.0,20260810_224130_190847
177,k_clusters,global_smoothing,6654,0.45,1,0.0,0.0,0.0,0.65,0.15,0.2,False,1,True,valid,-1.4201574,u,none,l2,0.0,20260810_235037_964564
158,k_clusters,global_smoothing,6654,0.45,1,0.45,0.25,0.55,0.0,0.0,0.0,True,1,True,valid,-1.4203776,u,none,l2,0.0,20260810_233202_791657
86,k_clusters,global_smoothing,6654,0.45,1,0.0,0.0,0.0,0.85,0.25,0.1,False,1,True,valid,-1.4203806,u,none,l2,0.0,20260810_222200_629839
126,k_clusters,global_smoothing,6654,0.3,1,0.0,0.0,0.0,0.75,0.4,0.35,False,1,True,valid,-1.4207224,u,none,l1,0.0,20260810_230055_922854
155,k_clusters,global_smoothing,6654,0.22,1,0.8,0.5,0.3,0.0,0.0,0.0,True,1,True,valid,-1.421113,u,none,l1,0.0,20260810_232907_302126
170,k_clusters,global_smoothing,6654,0.45,1,0.0,0.0,0.0,0.35,0.35,0.2,False,1,True,valid,-1.421394,u,none,l1,0.0,20260810_234345_799366
18,k_clusters,global_smoothing,6654,0.32,1,0.4,0.5,0.4,0.0,0.0,0.0,True,1,True,valid,-1.4215457,u,none,l1,0.0,20260810_211617_031325
147,k_clusters,global_smoothing,6654,0.38,1,0.2,0.8,0.2,0.0,0.0,0.0,True,1,True,valid,-1.4216238,u,none,l1,0.0,20260810_232121_085406
63,k_clusters,global_smoothing,6654,0.32,1,0.0,0.0,0.0,0.95,0.5,0.35,False,1,True,valid,-1.4217672,u,none,l1,0.0,20260810_215929_624380
74,k_clusters,global_smoothing,6654,0.38,1,0.0,0.0,0.0,0.8,0.25,0.3,False,1,True,valid,-1.4221941,u,none,l1,0.0,20260810_221014_967088
